,Image,Acc,Dice_Coef,Jaccard,Recall,Precision
111,cju84hibuktj80871u519o71q,0.989837646484375,0.9150943396226415,0.8434782608695652,0.9983310152990265,0.844669333960932
112,cju84ih17kp5l09876bkooocl,0.9674530029296875,0.8582253240279161,0.7516590988473629,0.9939953810623556,0.7550877192982456
113,cju84jdl9kv0i0871eog9b3i9,0.907135009765625,0.8129226607647855,0.684810192138381,0.9965332730424297,0.6864455173129834
114,cju84kplnl1y30755ropua1b0,0.7701568603515625,0.6999103496364181,0.5383554506727145,0.5734151596265588,0.898011349113031
115,cju8567gdlcbq0801dwwyo2jt,0.9769744873046875,0.9601015308955342,0.9232646834477498,0.974975835033831,0.9456742538673889
116,cju857ad0l88m0817qx4cwxnf,0.9810791015625,0.9189330543933054,0.8500241896468311,0.9361928866391368,0.902298112723071
117,cju858eswlepn0871pzvdrhj1,0.98211669921875,0.9596168423954241,0.9223686825197059,0.9958521061288708,0.9259259259259259
118,cju85a8h8llwm07559wxg4t5w,0.9916534423828125,0.9234000840218456,0.8577003121748179,0.9748669426374926,0.8770949720670391
119,cju85bf1algsq0871y9gtlq97,0.9829864501953125,0.8952756645064337,0.8104063934704983,0.9742436631234669,0.828149435273675
120,cju85c2d4ln1b0755zz1z3onx,0.984954833984375,0.557847533632287,0.38681592039800994,0.9873015873015873,0.38875
121,cju85citjlnfm0755i4rk5tqj,0.9909515380859375,0.8012068387529333,0.6683445190156599,0.9950041631973355,0.6705948372615039
122,cju85dx63lic408017f0l0400,0.979583740234375,0.7232105916425321,0.5664290343486714,1.0,0.5664290343486714
123,cju85fc11ljr40818edpb0inh,0.8958740234375,0.799753506661189,0.6663243851156423,0.6916556694751802,0.9478992765720645
124,cju85hguellg50818kwu3s8d1,0.6436004638671875,0.672297439494914,0.506361484487277,0.9510936445555952,0.519898446315424
125,cju85ia1slh220987y7c20sm2,0.9910430908203125,0.9347705300588955,0.8775297308575005,0.9799627213420317,0.8935627788400254
126,cju85je7vlht70817c9jcjwi4,0.778717041015625,0.7534176698632931,0.6043866110156314,0.9977931904161412,0.6051955856643356
127,cju85l4yjlops0801fvmnwptf,0.887939453125,0.8036783575705733,0.6717912048623526,0.6968292230669386,0.9492296034352109
128,cju85mpuglq8k0818d2it6hzb,0.9513397216796875,0.8699800220165531,0.7698802135950353,0.9746939521286314,0.7855827994993005
129,cju85nr8elly209872w9n5m0s,0.95404052734375,0.6849372384937239,0.5208399618199173,0.9238148984198645,0.5442154255319149
130,cju85omszllp30850b6rm9mi3,0.987548828125,0.9473955647240847,0.9000489955903969,0.9935100054083288,0.905372104484968
131,cju85plp7lmkw0850rx42jdpf,0.84716796875,0.6471748626180075,0.4783876679512551,0.4885390629154922,0.9583724569640063
132,cju85qefyln6v0850szeb9byi,0.925323486328125,0.893622570969004,0.8077013752455796,0.850264725347452,0.9416399450297755
133,cju85rkbnlo1c08503uxcpax1,0.9743499755859375,0.9249251931579653,0.8603356596876038,0.9939527740449222,0.8648626075336173
134,cju87kbcen2av0987usezo8kn,0.7474822998046875,0.24794364917064304,0.14151579602635264,0.8477315102548166,0.1452067919305903
135,cju87li0zn3yb0817kbwgjiz8,0.5995635986328125,0.5169970367916368,0.34861497220015886,0.34963903410505354,0.9916684318294147
136,cju87mrypnb1e0818scv1mxxg,0.9873046875,0.8420652999240699,0.7272131147540983,0.9884135472370766,0.7334656084656085
137,cju87nkyrnb970801q84m47yt,0.932769775390625,0.30962080852397367,0.1831664812754913,0.18669690098261527,0.9064220183486239
138,cju87ox0kncom0801b98hqnd2,0.99029541015625,0.9208955223880598,0.8533886583679114,0.987726787620064,0.8625349487418453
139,cju87q6yoneim0871dl4phvkd,0.8775482177734375,0.6667773948428352,0.5001245795440389,0.5141521516393442,0.9482697531593245
140,cju87r56lnkyp0755hz30leew,0.940673828125,0.9037051713889439,0.8243267666726911,0.9609185715790582,0.8529219261337073
141,cju87tyddnnad0755bj0wxahe,0.8896636962890625,0.8584017075606557,0.7519297402998387,0.7779236912156167,0.9574523851127031
142,cju87vqa0ndwg0850onjdz7ol,0.69329833984375,0.6940080379978079,0.5314029934256539,0.5344306112400647,0.9894517515301472
143,cju87xn2snfmv0987sc3d9xnq,0.95513916015625,0.8358458961474037,0.7179856115107913,0.755831566192063,0.9348070438366429
144,cju87z6o6nh73085045bzsx6o,0.9872283935546875,0.9430496019595835,0.8922363847045192,0.9956896551724138,0.8956960062039551
145,cju87zv8lni0o0850hbbecbq6,0.9217987060546875,0.19633056296063978,0.10885063467223091,0.876750700280112,0.11054211548649126
146,cju8828oxnool0801qno9luhr,0.9719390869140625,0.9237909742654675,0.8583750481324606,0.9570668040528937,0.8927513015618742
